Individual,BleachingStatus,Egg,Area,Max,Min,Average,depth_m,,
271,resistant,5,87156.239,489.576,275.443,382.5095,5,,
271,resistant,6,52016.981,316.938,256.077,286.5075,5,,
271,resistant,7,69851.703,412.803,226.299,319.551,5,,
271,resistant,8,48536.987,345.178,199,272.089,5,,
271,resistant,9,96916.349,507.373,232.669,370.021,5,,
271,resistant,10,69959.703,409.722,226.063,317.8925,5,,
271,resistant,11,74536.571,414.408,234.041,324.2245,5,,
271,resistant,12,69714.641,336.683,267.143,301.913,5,,
271,resistant,13,91178.858,499.213,240.539,369.876,5,,
271,resistant,14,49516.423,449.618,191.041,320.3295,5,,
271,resistant,15,51131.92,320.089,218.956,269.5225,5,,
271,resistant,16,84318.993,404.847,267.554,336.2005,5,,
271,resistant,17,72369.637,438.031,251.437,344.734,5,,
271,resistant,18,78567.252,506.086,231.197,368.6415,5,,
271,resistant,19,73159.386,470.541,232.922,351.7315,5,,
271,resistant,20,69452.704,344.684,257.2,300.942,5,,
271,resistant,21,55484.288,319.924,254.819,287.3715,5,,
271,resistant,22,58733.533,326.926,253.227,290.0765,5,,
271,resistant,23,81426.06,381.325,310.303,345.814,5,,
273,resistant,1,103310.062,664.214,216.608,440.411,5,,
273,resistant,2,69844.312,346.734,270.113,308.4235,5,,
273,resistant,3,110178,550.175,305.623,427.899,5,,
273,resistant,4,89244,451.14,324.219,387.6795,5,,
273,resistant,5,110223.75,606.695,231.709,419.202,5,,
273,resistant,6,93300,549.849,236.219,393.034,5,,
273,resistant,7,39849.75,317.796,181.59,249.693,5,,
273,resistant,8,19423.688,193.989,153.123,173.556,5,,
273,resistant,9,61055.625,378.441,203.916,291.1785,5,,
273,resistant,10,64151.062,390.221,209.764,299.9925,5,,
273,resistant,11,43286.438,292.851,207.973,250.412,5,,
273,resistant,12,30605.438,434.99,125.055,280.0225,5,,
273,resistant,13,78298.312,419.349,268.894,344.1215,5,,
273,resistant,14,107010.375,553.355,255.264,404.3095,5,,
273,resistant,15,61611.75,453.56,206,329.78,5,,
273,resistant,16,60254.812,374.358,236.928,305.643,5,,
273,resistant,17,79549.125,425.155,244.462,334.8085,5,,
273,resistant,18,51400.375,386.095,194.764,290.4295,5,,
273,resistant,19,130817.75,586.656,290.592,438.624,5,,
273,resistant,20,105186.938,518.267,268.582,393.4245,5,,
273,resistant,21,102134.5,683.026,229.913,456.4695,5,,
273,resistant,22,105898.5,737.784,187.825,462.8045,5,,
273,resistant,23,112996.312,681.713,310.372,496.0425,5,,
273,resistant,24,72922.562,402.412,227.21,314.811,5,,
273,resistant,25,36366.438,287.653,179.791,233.722,5,,
274,resistant,1,69279.188,412.501,212.963,312.732,5,,
274,resistant,2,52603.5,329.253,221.417,275.335,5,,
274,resistant,3,38743.125,326.719,156.747,241.733,5,,
276,resilient,1,35024.125,247.645,212.685,230.165,5,,
276,resilient,2,40676.812,299.203,179.956,239.5795,5,,
276,resilient,3,65606.438,347.719,252.888,300.3035,5,,
276,resilient,4,74920.5,571.412,199.825,385.6185,5,,
276,resilient,5,43361.688,383.316,145.579,264.4475,5,,
276,resilient,6,56631.562,362.383,247.345,304.864,5,,
276,resilient,7,71290.125,452.633,229.608,341.1205,5,,
276,resilient,8,60636,319.501,247.51,283.5055,5,,
276,resilient,9,64946.625,376.695,243.145,309.92,5,,
276,resilient,10,69268.125,331.192,286.793,308.9925,5,,
276,resilient,11,61753.125,327.114,251.965,289.5395,5,,
276,resilient,12,73172.438,454.28,224.502,339.391,5,,
276,resilient,13,58685.25,366.167,235.408,300.7875,5,,
276,resilient,14,51417.938,285.276,231.859,258.5675,5,,
276,resilient,15,77508.938,384.308,282.945,333.6265,5,,
276,resilient,16,105445.875,468.539,315.747,392.143,5,,
276,resilient,17,97075.875,481.179,253.512,367.3455,5,,
276,resilient,18,109290.25,431.668,343.678,387.673,5,,
276,resilient,19,63922.125,440.546,213.627,327.0865,5,,
276,resilient,20,51386.438,323.337,227.796,275.5665,5,,
276,resilient,21,66481.312,353.65,258.091,305.8705,5,,
276,resilient,22,55232.812,363.91,246.337,305.1235,5,,
276,resilient,23,75593.25,425.011,263.104,344.0575,5,,
276,resilient,24,86692.625,412.8,298.811,355.8055,5,,
276,resilient,25,84525.625,401.976,281.447,341.7115,5,,
279,resistant,1,42263.361,302.235,214.417,258.326,5,,
279,resistant,2,21067.618,278.101,97.048,187.5745,5,,
279,resistant,3,30906.994,273.347,188.415,230.881,5,,
279,resistant,4,98703.133,462.73,281.77,372.25,5,,
279,resistant,5,91133.305,599.426,222.989,411.2075,5,,
279,resistant,6,111298.929,523.55,301.576,412.563,5,,
279,resistant,7,36302.586,329.88,135.412,232.646,5,,
279,resistant,8,41679.427,298.419,181.812,240.1155,5,,
279,resistant,9,63510.353,426.522,218.906,322.714,5,,
279,resistant,10,29093.943,243.278,164.226,203.752,5,,
279,resistant,11,73960.975,395.675,250.499,323.087,5,,
279,resistant,12,81398.366,495.226,208.999,352.1125,5,,
279,resistant,13,59039.444,366.522,233.459,299.9905,5,,
279,resistant,14,46925.832,284.062,234.482,259.272,5,,
279,resistant,15,51968.8,466.723,164.699,315.711,5,,
279,resistant,16,42064.612,387.47,176.89,282.18,5,,
279,resistant,17,63971.975,345.101,245.48,295.2905,5,,
279,resistant,18,47471.516,310.862,208.428,259.645,5,,
281,resistant,1,26590.312,264.33,129.978,197.154,5,,
281,resistant,2,83072.25,434.249,265.611,349.93,5,,
281,resistant,3,71222.812,447.596,243.926,345.761,5,,
281,resistant,4,77181.938,367.611,282.203,324.907,5,,
281,resistant,5,69024.75,344.244,253.782,299.013,5,,
281,resistant,6,85209,422.63,322.806,372.718,5,,
281,resistant,7,83939.812,391.734,289.828,340.781,5,,
281,resistant,8,78975.562,430.295,256.885,343.59,5,,
281,resistant,9,46068.375,361.949,192.977,277.463,5,,
281,resistant,10,69733.875,347.01,264.742,305.876,5,,
281,resistant,11,83164.125,414.947,285.237,350.092,5,,
281,resistant,12,49328.375,331.157,217.597,274.377,5,,
281,resistant,13,69752.062,362.442,273.943,318.1925,5,,
281,resistant,14,83714.062,411.669,294.784,353.2265,5,,
281,resistant,15,75484.875,374.947,252.33,313.6385,5,,
281,resistant,16,62014.312,471.27,202.588,336.929,5,,
281,resistant,17,45385.125,364.09,183.64,273.865,5,,
281,resistant,18,53537.812,378.336,181.976,280.156,5,,
281,resistant,19,100216.625,636.463,251.378,443.9205,5,,
281,resistant,20,67613.438,450.526,205.846,328.186,5,,
281,resistant,21,72726,536.183,202.3,369.2415,5,,
281,resistant,22,94511.875,480.787,267.697,374.242,5,,
281,resistant,23,80355,462.637,259.586,361.1115,5,,
281,resistant,24,56997.562,426.689,178.209,302.449,5,,
281,resistant,25,84491.812,438.283,286.762,362.5225,5,,
301,resilient,1,25334.375,280.546,130.601,205.5735,14,,
301,resilient,2,56157,383.297,201.164,292.2305,14,,
301,resilient,3,54231.375,399.713,217.784,308.7485,14,,
301,resilient,4,36865.875,301.944,171.73,236.837,14,,
301,resilient,5,78127.625,555.987,194.271,375.129,14,,
301,resilient,6,43942.875,374.28,156.385,265.3325,14,,
301,resilient,7,69365.812,414.81,230.236,322.523,14,,
301,resilient,8,41984.812,329.776,189.152,259.464,14,,
